Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,55.50,55.669998,54.82,54.82,10090800,53.376763
2014-12-30,55.52,55.75,55.400002,55.419998,8749400,53.960965
2014-12-29,55.080002,55.950001,55.080002,55.709999,11385600,54.243331
2014-12-26,55.41,55.540001,55.259998,55.279999,5826000,53.824651
2014-12-24,55.630001,55.740002,55.32,55.34,4297000,53.883073
2014-12-23,55.080002,55.639999,55.060001,55.470001,13205700,54.009652
2014-12-22,54.459999,54.970001,54.34,54.970001,17395500,53.522815
2014-12-19,54.900002,55.419998,54.450001,54.450001,36186100,53.016505
2014-12-18,54.43,55.209999,54.360001,55.209999,21404700,53.756495
2014-12-17,53.040001,53.849998,52.939999,53.790001,19782600,52.37388
2014-12-16,52.82,53.77,52.73,52.77,24243300,51.380733
2014-12-15,54.009998,54.41,53.16,53.189999,24852800,51.789674
2014-12-12,53.869999,54.610001,53.66,53.700001,18792900,52.28625
2014-12-11,54.59,55.18,54.369999,54.43,17007700,52.997031
2014-12-10,54.73,55.09,54.209999,54.259998,23309500,52.831504
2014-12-09,54.290001,54.900002,54.049999,54.830002,12895800,53.386501
2014-12-08,54.950001,55.150002,54.59,54.77,18939300,53.32808
2014-12-05,54.889999,55.349998,54.849998,55.029999,14261400,53.581233
2014-12-04,54.32,54.639999,54.169998,54.50,12310000,53.065187
2014-12-03,54.169998,54.610001,54.099998,54.389999,14781300,52.958083
2014-12-02,53.75,54.439999,53.75,54.220001,12845600,52.79256
2014-12-01,54.419998,54.59,53.700001,53.82,13858500,52.403089
2014-11-28,54.32,54.740002,54.27,54.48,11054300,53.045714
2014-11-26,54.189999,54.419998,53.970001,54.279999,11792500,52.850978
2014-11-25,54.23,54.279999,53.799999,53.880001,14390400,52.461511
2014-11-24,54.060001,54.360001,53.93,54.099998,11028000,52.675717
2014-11-21,54.00,54.09,53.700001,53.810001,14587500,52.393354
2014-11-20,53.16,53.560001,53.080002,53.48,10245900,52.07204
2014-11-19,53.259998,53.41,52.919998,53.360001,12490200,51.955201
2014-11-18,53.099998,53.50,53.029999,53.27,12580400,51.86757
2014-11-17,53.099998,53.490002,52.869999,53.439999,9650800,52.033093
2014-11-14,53.389999,53.689999,53.23,53.349998,9488200,51.945462
2014-11-13,53.57,53.669998,53.119999,53.389999,13494400,51.98441
2014-11-12,53.299999,53.669998,53.209999,53.540001,10687900,52.130462
2014-11-11,53.880001,54.099998,53.529999,53.580002,12520500,52.16941
2014-11-10,53.68,53.990002,53.619999,53.830002,11837300,52.412828
2014-11-07,54.200001,54.25,53.639999,53.84,13312700,52.422563
2014-11-06,53.549999,54.119999,53.48,54.060001,15328100,52.636773
2014-11-05,53.43,53.549999,53.130001,53.529999,14496900,52.120723
2014-11-04,53.380001,53.490002,52.91,53.27,14931500,51.526785
2014-11-03,53.220001,53.599998,53.09,53.369999,14349500,51.623512
2014-10-31,53.040001,53.169998,52.779999,53.09,21126300,51.352675
2014-10-30,52.009998,52.619999,51.919998,52.459999,14107600,50.743291
2014-10-29,51.84,52.27,51.68,52.169998,16546900,50.46278
2014-10-28,51.560001,51.790001,51.299999,51.779999,13255400,50.085543
2014-10-27,51.310001,51.360001,51.009998,51.310001,11654500,49.630926
2014-10-24,50.580002,51.25,50.549999,51.200001,10888600,49.524525
2014-10-23,50.759998,50.98,50.490002,50.599998,14394500,48.944157
2014-10-22,50.52,50.689999,50.139999,50.169998,20078200,48.528228
2014-10-21,49.630001,50.580002,49.57,50.450001,17660200,48.799068
2014-10-20,48.68,49.240002,48.610001,49.18,15018500,47.570627
2014-10-17,48.490002,49.029999,48.41,48.689999,28314000,47.09666
2014-10-16,47.18,48.68,47.049999,48.130001,28973400,46.554988
2014-10-15,48.130001,48.52,46.439999,47.849998,38470600,46.284148
2014-10-14,49.50,49.860001,48.209999,48.830002,45851500,47.232082
2014-10-13,50.610001,50.98,50.150002,50.200001,19298900,48.557249
2014-10-10,51.009998,51.740002,50.610001,50.639999,20211500,48.982849
2014-10-09,52.060001,52.209999,51.029999,51.119999,18735700,49.447141
2014-10-08,51.25,52.189999,51.09,52.150002,15267200,50.443437
